sim_id,p_launch_time,p_latitude,p_longitude,p_altitude,p_balloon_mass,p_payload_mass,p_neck_lift,p_burst_diameter,p_time_step,p_iter_max,p_DataSet,p_parachute_cd,p_parachute_mass,p_parachute_diameter,burst_time_s,landing_time_s,burst_lat,burst_lon,burst_alt_m,land_lat,land_lon,land_alt_m,drift_m
36,2025-10-18 13:00,40.446970056546206,-104.6372527105487,1500,0.6,1.7886634448484693,1.860719972746971,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.446970056546206,-104.6372527105487,1500.0,40.446970056546206,-104.6372527105487,1500.0,0.0
37,2025-10-18 13:00,40.44689105358785,-104.63834795786525,1500,0.6,1.8102993473437545,2.1085656298571744,6.0,0.5,57600,gfs,1,0.1,1.22,6195.5,1767919374.2778513,40.15332037950774,-103.59456982299099,27340.322254666637,40.004008259655805,-103.20400859169258,1499.047659686842,131351.89853545
38,2025-10-18 13:00,40.44642837510689,-104.63785370331361,1500,0.6,1.7807127601511339,2.128083589019735,6.0,0.5,57600,gfs,1,0.1,1.22,5512.5,1767919376.9833925,40.18788260792627,-103.68764088488288,27294.257353792695,40.040433396019885,-103.29381777971756,1496.8276286848165,122682.43371005848
39,2025-10-18 13:00,40.44662483583236,-104.63796548443622,1500,0.6,1.7722624726876366,1.9734683088541678,6.0,0.5,57600,gfs,1,0.1,1.22,10026.0,1767919381.8157086,39.841891341483496,-102.83813909643563,27669.19043130752,39.705877416672244,-102.4284956950649,1497.7895071138337,205237.29318072257
40,2025-10-18 13:00,40.44673393082141,-104.638016710138,1500,0.6,1.7812509650659587,2.0693042027977233,6.0,0.5,57600,gfs,1,0.1,1.22,6308.5,1767919384.9409802,40.14871148344252,-103.57532018663497,27435.505565914737,39.99842429665674,-103.18172463037591,1497.9537393584612,133310.78045721006
41,2025-10-18 13:00,40.446533500253274,-104.63837017894498,1500,0.6,1.818514924024392,1.9673762492698532,6.0,0.5,57600,gfs,1,0.1,1.22,16296.5,1767919395.0916278,39.240385660198584,-101.41447899594355,27684.275211314976,39.15038942766367,-101.03303669416431,1497.9637768379728,340022.6340408513
42,2025-10-18 13:00,40.44746387524212,-104.63823263481662,1500,0.6,1.799022074698698,1.868648461576208,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44746387524212,-104.63823263481662,1500.0,40.44746387524212,-104.63823263481662,1500.0,0.0
43,2025-10-18 13:00,40.44640155995641,-104.63786095945744,1500,0.6,1.8120933763198472,1.9678719200373174,6.0,0.5,57600,gfs,1,0.1,1.22,14491.0,1767919404.0761418,39.41185885841551,-101.84526145203128,27683.737063161167,39.30568372464559,-101.45592832813627,1499.2786478983978,299669.3198210052
44,2025-10-18 13:00,40.44628981438528,-104.63747129161608,1500,0.6,1.8197429062078858,2.005917693748694,6.0,0.5,57600,gfs,1,0.1,1.22,11132.0,1767919409.6078794,39.73842029365276,-102.59447817373963,27588.698111973907,39.61525740000932,-102.1780770098349,1499.8170078470423,228869.09547285258
45,2025-10-18 13:00,40.446270071677716,-104.63745546361201,1500,0.6,1.8210175787902725,1.8392826823141148,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.446270071677716,-104.63745546361201,1500.0,40.446270071677716,-104.63745546361201,1500.0,0.0
46,2025-10-18 13:00,40.446610072182956,-104.63883151804397,1500,0.6,1.7689777182665631,2.1176329129898797,6.0,0.5,57600,gfs,1,0.1,1.22,5490.0,1767919412.3308418,40.189477531818525,-103.69156502763339,27319.813634454058,40.04178928007757,-103.29693302671818,1499.964818636522,122464.52117869374
47,2025-10-18 13:00,40.44592672076242,-104.63679281879281,1500,0.6,1.7620819198297653,2.0553745585900716,6.0,0.5,57600,gfs,1,0.1,1.22,6229.0,1767919415.2331367,40.15246811829745,-103.58638930537488,27467.77091064084,40.00178496862614,-103.19147059728805,1497.8439867155728,132271.6169378518
48,2025-10-18 13:00,40.44586440384992,-104.63770772367069,1500,0.6,1.8353196309269268,2.1288983344720926,6.0,0.5,57600,gfs,1,0.1,1.22,6250.5,1767919418.214705,40.14842738255305,-103.58362770321246,27292.71712132429,39.99980749313998,-103.19505758494991,1497.4017915480404,132142.68521578563
49,2025-10-18 13:00,40.44564157450483,-104.63795373231288,1500,0.6,1.8479227445024624,2.076227949088244,6.0,0.5,57600,gfs,1,0.1,1.22,8693.0,1767919422.3355417,39.954255539067674,-103.11387706425826,27418.302331411105,39.81262560132944,-102.72305036707382,1499.4249454447959,177362.52364840897
50,2025-10-18 13:00,40.44638814427858,-104.63807013339039,1500,0.6,1.7952915840986499,2.0770553966782392,6.0,0.5,57600,gfs,1,0.1,1.22,6392.5,1767919425.389649,40.143446223266174,-103.5606839083065,27415.542763947367,39.99316234328829,-103.16803915095308,1497.733315316189,134601.77449500255
51,2025-10-18 13:00,40.44629505733257,-104.63779897172951,1500,0.6,1.831837652464173,2.0492220485138546,6.0,0.5,57600,gfs,1,0.1,1.22,9199.0,1767919429.8560927,39.906436232173526,-103.01152291949586,27482.1477761866,39.763692593191564,-102.61962213710765,1496.7142502196286,187671.19934422977
52,2025-10-18 13:00,40.44562715558883,-104.63803856466737,1500,0.6,1.774286389614936,2.098357074894118,6.0,0.5,57600,gfs,1,0.1,1.22,5905.5,1767919432.6365676,40.16766819158447,-103.64270317695107,27364.801125584036,40.01746223894564,-103.2492973839563,1498.5327376732125,127139.8651809207
53,2025-10-18 13:00,40.44591134872981,-104.63759026340995,1500,0.6,1.8047094757103828,1.9995036490972835,6.0,0.5,57600,gfs,1,0.1,1.22,10531.5,1767919437.730143,39.78644907884875,-102.72520007991191,27605.499262544316,39.65367095923896,-102.31223539633574,1497.66582595826,216638.94673019927
54,2025-10-18 13:00,40.445973005015986,-104.63856953073741,1500,0.6,1.79038438000978,1.8563017542116014,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.445973005015986,-104.63856953073741,1500.0,40.445973005015986,-104.63856953073741,1500.0,0.0
55,2025-10-18 13:00,40.44613685467559,-104.63736589453362,1500,0.6,1.8186717603103384,1.9065266577903899,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44613685467559,-104.63736589453362,1500.0,40.44613685467559,-104.63736589453362,1500.0,0.0
56,2025-10-18 13:00,40.44672948459067,-104.63811752381227,1500,0.6,1.8592219139364925,1.884942413118667,6.0,0.5,57600,gfs,1,0.1,1.22,0.0,0.0,40.44672948459067,-104.63811752381227,1500.0,40.44672948459067,-104.63811752381227,1500.0,0.0
57,2025-10-18 13:00,40.4461405076942,-104.63724508864053,1500,0.6,1.7967271172983186,2.04581447082442,6.0,0.5,57600,gfs,1,0.1,1.22,7415.0,1767919441.204907,40.07591537975736,-103.36895913962037,27490.856899532115,39.927073648201244,-102.96617960064303,1497.3595955508047,153234.04529778988
